model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.4,span_mean,1,4,full_attention,180,20,2.697290211825774e-05,0.7589260996675656,1.845523529268093e-05,0.0433004212766819,4.362251569086119,True,False,False,
Qwen3-8B,v4.4,span_mean,1,5,full_attention,180,20,0.0001955733895398,0.7301315255036941,0.000130980003212,0.3412410021902057,4.247965497637405,True,False,False,
Qwen3-8B,v4.4,span_mean,1,6,full_attention,180,20,0.0012287769646111,0.9393734568244876,0.001143364242174,1.970546409411152,5.593073410446901,True,True,True,262.0
Qwen3-8B,v4.4,span_mean,1,7,full_attention,180,20,0.0003543505484912,0.8293060864519373,0.0002878431484266,0.5656798912939242,4.908870335709586,True,False,False,
Qwen3-8B,v4.4,span_mean,1,8,full_attention,180,20,0.0008162824395589,0.8447392630657075,0.0006706272427372,1.3174908812112658,4.972175560579707,True,True,True,404.0
Qwen3-8B,v4.4,span_mean,1,9,full_attention,180,20,0.0003586760145025,0.8827153013583546,0.0003099448170891,0.6366207952974097,5.230934941647695,True,False,False,
Qwen3-8B,v4.4,span_mean,1,10,full_attention,180,20,0.003103901113516,0.9451504635003376,0.0028922004304249,4.938440112253547,5.622647437031144,True,True,True,99.0
Qwen3-8B,v4.4,span_mean,1,11,full_attention,180,20,0.0026818699653732,0.943983099597374,0.0025200442245741,4.464267659196613,5.63837410941168,True,True,True,113.0
Qwen3-8B,v4.4,span_mean,1,12,full_attention,180,20,0.0002597128993764,0.7669086902177742,0.0001730431963135,0.3896112633720416,4.367946615778338,True,False,False,
Qwen3-8B,v4.4,span_mean,1,13,full_attention,180,20,0.0004196909848322,0.7780830665727436,0.0002766621695567,0.5875750800593119,4.396100290151534,True,False,False,
Qwen3-8B,v4.4,span_mean,1,14,full_attention,180,20,0.000198331680796,0.7770105265440026,0.0001253589772105,0.2896563536208063,4.415825666380524,True,False,False,
Qwen3-8B,v4.4,span_mean,1,15,full_attention,180,20,8.368627728302147e-05,0.7559109033756266,5.728153616041643e-05,0.1299371615952393,4.34174959559575,True,False,False,
Qwen3-8B,v4.4,span_mean,1,16,full_attention,180,20,0.0003097071711029,0.8479886266351777,0.0002427050123444,0.4506084130847521,4.897910515308085,True,False,False,
Qwen3-8B,v4.4,span_mean,1,17,full_attention,180,20,0.0016990301535972,0.9635450976608564,0.0016310899559191,2.895820939479331,5.758736149795946,True,True,True,175.0
Qwen3-8B,v4.4,span_mean,1,18,full_attention,180,20,0.0006727890142832,0.9035037582168792,0.0005985970475063,1.1290543717075687,5.354743021338275,True,True,True,435.0
Qwen3-8B,v4.4,span_mean,1,19,full_attention,180,20,0.0008643333164096,0.9106792038552984,0.0007680776139686,1.399139244105561,5.38086003088908,True,True,True,373.0
Qwen3-8B,v4.4,span_mean,1,20,full_attention,180,20,0.0005623613793886,0.8216252406635587,0.0004162566643499,0.8960033545763769,4.683194875188549,True,False,False,
Qwen3-8B,v4.4,span_mean,1,21,full_attention,180,20,3.945151297991449e-05,0.6785833462884413,2.443462277784003e-05,0.0631656130838148,3.912520286376567,True,False,False,
Qwen3-8B,v4.4,span_mean,1,22,full_attention,180,20,0.0001519022487981,0.8005067961707282,0.0001172093978709,0.2473018949943861,4.70297951069181,True,False,False,
Qwen3-8B,v4.4,span_mean,1,23,full_attention,180,20,0.0001079460180316,0.7457349181738934,7.44807190864127e-05,0.1642002152903043,4.2959983701565205,True,False,False,
Qwen3-8B,v4.4,span_mean,1,24,full_attention,180,20,1.4557408274251671e-05,0.6174839665029044,8.03559314302762e-06,0.0217088867463304,3.562784635873177,True,False,False,
Qwen3-8B,v4.4,span_mean,1,25,full_attention,180,20,3.14357743812562e-05,0.6150161610274553,1.706189767022797e-05,0.045516498685664,3.5445489912592625,True,False,False,
Qwen3-8B,v4.4,span_mean,1,26,full_attention,180,20,1.7735197501453668e-06,0.5120874790892413,5.751611240968527e-07,0.0021529375488107,2.7855987209028354,False,False,False,
Qwen3-8B,v4.4,span_mean,1,27,full_attention,180,20,0.0002189324853853,0.7677226507685367,0.0001428243146579,0.3219330215976167,4.357013170663605,True,False,False,
Qwen3-8B,v4.4,span_mean,1,28,full_attention,180,20,0.0013854943739715,0.8088800298920172,0.0010898313822669,2.3113779505338607,4.751303880950219,True,True,True,275.0
Qwen3-8B,v4.4,span_mean,1,29,full_attention,180,20,0.0005259068696532,0.8848747886454505,0.0004569231541705,0.8640076333635451,5.24424025198664,True,False,False,
Qwen3-8B,v4.4,span_mean,1,30,full_attention,180,20,0.0005991086577472,0.8635581993899357,0.0005145578612936,0.9863902309546372,5.13253027658927,True,False,False,
Qwen3-8B,v4.4,span_mean,1,31,full_attention,180,20,0.000442995660761,0.8236112229727272,0.0003600418830255,0.710777247599409,4.858559014727133,True,False,False,
Qwen3-8B,v4.4,span_mean,2,0,full_attention,180,20,0.0016301576886487,0.8760132654147788,0.001390606822208,2.6870730793020368,5.164104865400043,True,True,True,213.0
Qwen3-8B,v4.4,span_mean,2,1,full_attention,180,20,0.0022153463954357,0.8241824396116807,0.0017666936107454,3.761568471778072,4.813078201601978,True,True,True,158.0
Qwen3-8B,v4.4,span_mean,2,2,full_attention,180,20,0.0019890773729558,0.7950135981522869,0.0015452723560271,3.588851711445059,4.657036056326154,True,True,True,186.0
Qwen3-8B,v4.4,span_mean,2,3,full_attention,180,20,0.0011384161046912,0.8993018151408795,0.0010098799321375,2.034673854439899,5.351793788168849,True,True,True,298.0
Qwen3-8B,v4.4,span_mean,2,4,full_attention,180,20,0.0006412017867129,0.8077598358257071,0.0005024342308686,1.0386246785346165,4.724026937604397,True,True,True,474.0
Qwen3-8B,v4.4,span_mean,2,5,full_attention,180,20,0.0004925044380882,0.6658435602760348,0.000320625605947,0.7736543008524664,3.8626782435946825,True,False,False,
Qwen3-8B,v4.4,span_mean,2,6,full_attention,180,20,0.0006976617334809,0.7748336522456055,0.0005187330844127,1.0958312429597312,4.52275407552944,True,True,True,467.0
Qwen3-8B,v4.4,span_mean,2,7,full_attention,180,20,0.0001400537194588,0.7951563539873437,0.0001058559694626,0.2195525006568386,4.631871778236969,True,False,False,
Qwen3-8B,v4.4,span_mean,2,8,full_attention,180,20,0.0003513934334275,0.8700680722323666,0.0002889922230629,0.541764747445226,5.063850070652551,True,False,False,
Qwen3-8B,v4.4,span_mean,2,9,full_attention,180,20,0.0002924584188475,0.8396826009530295,0.0002398678374267,0.4849712010380681,4.949707163161639,True,False,False,
Qwen3-8B,v4.4,span_mean,2,10,full_attention,180,20,0.0024525861528874,0.8024012762361963,0.001877205165343,4.387462241599637,4.704835390487999,True,True,True,151.0
Qwen3-8B,v4.4,span_mean,2,11,full_attention,180,20,7.54265640607045e-05,0.7298945389761388,4.9285540732258286e-05,0.131332204554189,4.146642564851774,True,False,False,
Qwen3-8B,v4.4,span_mean,2,12,full_attention,180,20,0.000429388962094,0.7707402296046553,0.000285885645684,0.6139646327646725,4.316839766800167,True,False,False,
Qwen3-8B,v4.4,span_mean,2,13,full_attention,180,20,0.0002970979731546,0.7508635255646007,0.0001898455650275,0.4383964599481308,4.2044125776513495,True,False,False,
Qwen3-8B,v4.4,span_mean,2,14,full_attention,180,20,0.0009042663244649,0.8178070503935491,0.0007009437283505,1.5124005366836248,4.760724845953384,True,True,True,393.0
Qwen3-8B,v4.4,span_mean,2,15,full_attention,180,20,0.0006066479217628,0.8727683607381442,0.0005095545674024,0.983892049663118,5.0955205026220645,True,False,False,
Qwen3-8B,v4.4,span_mean,2,16,full_attention,180,20,0.0013324651887159,0.8388499774258287,0.0011183043891402,2.363122777970305,5.029234650137186,True,True,True,267.0
Qwen3-8B,v4.4,span_mean,2,17,full_attention,180,20,0.0006988202101334,0.8751724053950093,0.0006069245787181,1.1728577127130833,5.20986310814445,True,True,True,431.0
Qwen3-8B,v4.4,span_mean,2,18,full_attention,180,20,0.0010505370647478,0.8780009852806191,0.0009134616190995,1.7295858687327654,5.222371693247214,True,True,True,326.0
Qwen3-8B,v4.4,span_mean,2,19,full_attention,180,20,0.000570986855943,0.7871586526115062,0.0004351734802569,0.9638607495341052,4.599413891173126,True,False,False,
Qwen3-8B,v4.4,span_mean,2,20,full_attention,180,20,0.0014848273441884,0.6896544488276376,0.0009818815912337,2.4307420266279856,3.99951068998369,True,True,True,309.0
Qwen3-8B,v4.4,span_mean,2,21,full_attention,180,20,0.0013817913296103,0.8932677784364454,0.0012078505141078,2.2920737042219166,5.281808960051416,True,True,True,247.0
Qwen3-8B,v4.4,span_mean,2,22,full_attention,180,20,0.0020386858976355,0.7792296061679684,0.0015639726227623,3.4010834853689818,4.597687669932303,True,True,True,181.0
Qwen3-8B,v4.4,span_mean,2,23,full_attention,180,20,0.0014537584645899,0.7312178337169347,0.0010309101474344,2.425366390748914,4.275951462856978,True,True,True,293.0
Qwen3-8B,v4.4,span_mean,2,24,full_attention,180,20,0.0002893900721396,0.8029113590692573,0.0002164720885679,0.4649429599218802,4.644692991786084,True,False,False,
Qwen3-8B,v4.4,span_mean,2,25,full_attention,180,20,0.0002220992120605,0.7740246786174849,0.0001618826171284,0.3718192727233739,4.481243916604164,True,False,False,
Qwen3-8B,v4.4,span_mean,2,26,full_attention,180,20,0.0003929468098931,0.7822117166379438,0.0002779795327208,0.6644314261856591,4.528456846292191,True,False,False,
Qwen3-8B,v4.4,span_mean,2,27,full_attention,180,20,0.0004571739576147,0.7841871690095366,0.0003408741738865,0.7763301440496815,4.634331289140569,True,False,False,
Qwen3-8B,v4.4,span_mean,2,28,full_attention,180,20,0.0010167112870273,0.8705189350837323,0.0008739034084965,1.7688929595039888,5.174551545361603,True,True,True,333.0
Qwen3-8B,v4.4,span_mean,2,29,full_attention,180,20,0.001629296341121,0.8184907488852811,0.0012899051725961,2.570879492664868,4.80425655769313,True,True,True,235.0
