model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_end,27,0.7403032779693604,0.4107628738222611,1.0,0.13109908998012543,0.1737004928290844,0.20426074229180813,0.27915062941610813,0.7071631227729375,2.3410652358618056,0.29930573915958175,0.4884274005889892,3.1165602774607395,-0.376041453753153,0.043233416345351446,False,False,False
Qwen3-8B,span_end,28,0.7112354159355163,0.38518021164591604,1.0,0.11147862672805786,0.15478220209479332,0.18543669395148754,0.257855711504817,0.6661644520256992,2.524481724435865,0.283729659616851,0.4305748641490936,3.323683508782736,-0.3893063107524843,0.03504950323764911,False,False,False
Qwen3-8B,span_end,29,0.6769483923912049,0.37715600451216824,1.0,0.10089675337076187,0.1473553590476513,0.17778034694492817,0.24912553280591965,0.6500340941334244,2.6192363354060713,0.27630138165260265,0.4012828469276428,3.470948768205109,-0.4009960681791059,0.031930295805926226,False,False,False
Qwen3-8B,span_end,30,0.6562754154205322,0.36433774604242564,1.0,0.09428228437900543,0.14605101943016052,0.17581745982170105,0.2493990771472454,0.6235237085734242,2.7757928664556872,0.2648450366237102,0.3435820937156677,3.650614095448757,-0.4168240937990079,0.02903399589366024,False,False,False
Qwen3-8B,span_end,31,0.6258610010147094,0.36167728539983335,1.0,0.09063412249088287,0.1419340930879116,0.17212636582553387,0.24590599350631237,0.6048393056609723,2.8616118714950627,0.25895922046998465,0.3092056214809418,3.777064230867362,-0.4289583584122968,0.026959931514700785,False,False,False
Qwen3-8B,span_end,32,0.6341006636619568,0.3624688919001506,1.0,0.09714677929878235,0.14948320761322975,0.1802602205425501,0.25340285152196884,0.6158947843441203,2.8230437194855034,0.2615716882606244,0.3080720007419586,3.74293179901865,-0.4347540661589944,0.02904003663128876,False,False,False
Qwen3-8B,span_end,33,0.6482376098632813,0.3680575465031149,1.0,0.09628657251596451,0.1506669595837593,0.1824188381433487,0.25447896867990494,0.6166739345287355,2.825382871170692,0.2614117419556405,0.306982159614563,3.736779056633604,-0.4317396271220046,0.02940697609585754,False,False,False
Qwen3-8B,span_end,34,0.6317975163459778,0.3812846495294281,1.0,0.11224093288183212,0.17198138684034348,0.2053140252828598,0.27460029534995556,0.6737064756042639,2.673179121198699,0.27224373410727154,0.3490617573261261,3.447338370862251,-0.4220708927801111,0.03765713127550954,False,False,False
Qwen3-8B,span_end,35,0.6044049859046936,0.36604634639725714,1.0,0.20557637512683868,0.32713525742292404,0.3581220284104347,0.4195352979004383,0.7705154057876493,2.4675139549975844,0.2883910527768003,0.4544084072113037,3.231680252799785,-0.4084522470363788,0.07957820606445243,False,False,False
Qwen3-8B,span_mean,0,0.9993658304214478,0.23233594472322042,100.0,0.16561095416545868,0.27903278917074203,0.38342536240816116,0.6136999130249023,0.42190848120573166,0.6332713449498861,0.6122681348032118,0.1250878423452377,9.206670318784065,-0.4779205887659637,0.0990468686110134,True,True,False
