model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.2,span_end,5,8,18,pool_min_to_mean,100,45,55,2,-0.0419831243710409,999,-0.2205680225244658,0.0849929167712776,False
Qwen3-8B,v4.2,span_end,6,29,0,pool_primary,100,45,55,2,-0.0004237953937969,998,-0.0012590744746928,0.0001755257093753,False
Qwen3-8B,v4.2,span_end,6,29,0,pool_coverage,100,45,55,2,0.0179214401509926,996,-0.0467194130520804,0.1372051268469731,False
Qwen3-8B,v4.2,span_end,6,29,0,pool_enrichment,100,45,55,2,-4.858483298285526,998,-13.325070720431944,1.2178121914707465,False
Qwen3-8B,v4.2,span_end,6,29,0,pool_min_to_mean,100,45,55,2,0.0089568512160649,999,-0.0008255870083848,0.0326364088627772,False
Qwen3-8B,v4.2,span_end,7,22,0,pool_primary,100,45,55,2,0.0013347690562316,1000,-0.0008097434715471,0.004711788192784,False
Qwen3-8B,v4.2,span_end,7,22,0,pool_coverage,100,45,55,2,0.1167849770063523,1000,-0.0025555812228954,0.2864191870066825,False
Qwen3-8B,v4.2,span_end,7,22,0,pool_enrichment,100,45,55,2,1.6302885307694417,1000,-3.144462057527561,7.9448781073242625,False
Qwen3-8B,v4.2,span_end,7,22,0,pool_min_to_mean,100,45,55,2,0.0363331028140632,999,-0.0339993677562549,0.173306763888485,False
Qwen3-8B,v4.2,span_end,8,6,12,pool_primary,100,45,55,2,0.0002581222181602,999,-0.0009020411414237,0.0014863541414486,False
Qwen3-8B,v4.2,span_end,8,6,12,pool_coverage,100,45,55,2,0.0451842363266188,996,-0.0358105620393849,0.1899426104781275,False
Qwen3-8B,v4.2,span_end,8,6,12,pool_enrichment,100,45,55,2,0.3748937999471931,999,-2.9285535672083007,3.330522882785804,False
Qwen3-8B,v4.2,span_end,8,6,12,pool_min_to_mean,100,45,55,2,0.1024370694929801,999,-0.0206184279867059,0.295905036755751,False
Qwen3-8B,v4.2,span_mean,1,28,19,pool_primary,100,45,55,2,-0.0009373698586905,999,-0.0035216960673715,0.001629102893942,False
Qwen3-8B,v4.2,span_mean,1,28,19,pool_coverage,100,45,55,2,-0.0073790379001936,998,-0.0432964395992527,0.0242370929995119,False
Qwen3-8B,v4.2,span_mean,1,28,19,pool_enrichment,100,45,55,2,-1.4427048411703474,998,-8.627280680998211,4.053393761632876,False
Qwen3-8B,v4.2,span_mean,1,28,19,pool_min_to_mean,100,45,55,2,0.0008246857343004,999,-0.0369976287098703,0.033333151564006,False
Qwen3-8B,v4.2,span_mean,2,27,18,pool_primary,100,45,55,2,0.0003090915163119,1000,-0.0026417171178521,0.003204793868197,False
Qwen3-8B,v4.2,span_mean,2,27,18,pool_coverage,100,45,55,2,-0.0071647376737448,999,-0.0778557705144298,0.0436314324867115,False
Qwen3-8B,v4.2,span_mean,2,27,18,pool_enrichment,100,45,55,2,0.9441870635551504,1000,-5.539045213840717,7.79015135145432,False
Qwen3-8B,v4.2,span_mean,2,27,18,pool_min_to_mean,100,45,55,2,-0.0219905615273836,998,-0.1577568910012609,0.0806272988674192,False
Qwen3-8B,v4.2,span_mean,3,23,29,pool_primary,100,45,55,2,-0.001301928527182,999,-0.0043880403903391,0.001250798949699,False
Qwen3-8B,v4.2,span_mean,3,23,29,pool_coverage,100,45,55,2,0.0178374833055223,997,-0.0183125529932919,0.0540358145752942,False
Qwen3-8B,v4.2,span_mean,3,23,29,pool_enrichment,100,45,55,2,-3.827097300614828,999,-12.783010616844503,2.9804724887767047,False
Qwen3-8B,v4.2,span_mean,3,23,29,pool_min_to_mean,100,45,55,2,0.0371098969287169,1000,-0.0230724770757327,0.1227365514812467,False
Qwen3-8B,v4.2,span_mean,4,23,13,pool_primary,100,45,55,2,0.0001749727206097,1000,-0.0035118573912457,0.0029413112764697,False
