model_label,grammar_class,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_after_city,14,750,0.8373700172127216,0.689430837812941,0.7634004275128313,494,5,16,16,0.777801865653528,0.6352055579756987,0.37820125635768287,-4.22277032793193,4.686935901641846,12.39270315170288,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,15,750,0.7659433061695122,0.6362900673347093,0.7011166867521108,494,5,16,16,0.7621391059210753,0.6033600661557823,0.34848877235387776,-4.578112094836309,4.261861324310303,12.229551315307617,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,16,750,0.7693887759432553,0.6169483929965305,0.6931685844698929,494,5,16,16,0.7309616028685721,0.5976352762398159,0.35270382988451005,-4.5258982445874105,4.231804847717285,11.99818229675293,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,17,750,0.6962550966460884,0.6062004605468102,0.6512277785964493,494,5,16,16,0.7419995144100004,0.5750948442364682,0.3090769258662801,-5.099334159751861,4.110665798187256,13.299814558029174,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,18,750,0.7624824659344782,0.7043587412288101,0.7334206035816442,494,5,16,16,0.8149968460070763,0.7008942819045121,0.3575857302174113,-4.466198204451601,4.708276271820068,13.166846084594727,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,19,750,0.7165342625349616,0.6527904905773676,0.6846623765561646,494,5,16,16,0.747713335612952,0.6579816416533169,0.3645340162116606,-4.38261939599148,4.755738258361816,13.04607539176941,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,20,750,0.6753640625162646,0.60667570170766,0.6410198821119624,494,5,16,16,0.7289743043259668,0.6048876386472295,0.34270993159381036,-4.650733097111024,4.24749755859375,12.393856048583984,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,21,750,0.6829319807992534,0.6041277049126845,0.643529842855969,494,5,16,16,0.6966014457622514,0.5759173939161151,0.32697589321390097,-4.854842651687886,4.158815383911133,12.719027519226074,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,22,750,0.6785302638039081,0.6562158626020606,0.6673730632029844,494,5,16,16,0.7115268389964681,0.6396637755892871,0.3329830358209266,-4.775778915298055,4.476566314697266,13.443826961517335,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,23,750,0.7264752796057101,0.6737055234788183,0.7000904015422642,494,5,16,16,0.7402012895459187,0.6623711273807181,0.3802127192547908,-4.1997335877574935,4.730254173278809,12.441072940826416,256,10,4,47,16,0.1
