model_label,seed,gold_count,layer,normalized_depth,clean_correct,clean_absolute_error,absolute_error_specificity,candidate_absolute_error_damage_from_clean,control_absolute_error_damage_from_clean,accuracy_damage_specificity,candidate_correct_damage_from_clean,control_correct_damage_from_clean
Gemma4-E4B,1254,10,8,0.1951219512195122,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,9,0.2195121951219512,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,12,0.2926829268292683,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,16,0.3902439024390244,0.0,3.0,1.0,1.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,20,0.4878048780487805,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,24,0.5853658536585366,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,28,0.6829268292682927,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,32,0.7804878048780488,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,36,0.8780487804878049,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,40,0.975609756097561,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,41,1.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,4,0.0975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,8,0.1951219512195122,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,9,0.2195121951219512,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,12,0.2926829268292683,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,16,0.3902439024390244,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,20,0.4878048780487805,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,24,0.5853658536585366,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,28,0.6829268292682927,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,32,0.7804878048780488,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,36,0.8780487804878049,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,40,0.975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,2,41,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,4,0.0975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,8,0.1951219512195122,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,9,0.2195121951219512,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,12,0.2926829268292683,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,16,0.3902439024390244,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,20,0.4878048780487805,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,24,0.5853658536585366,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,28,0.6829268292682927,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,32,0.7804878048780488,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,36,0.8780487804878049,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,40,0.975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,3,41,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,4,0.0975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,8,0.1951219512195122,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,9,0.2195121951219512,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,12,0.2926829268292683,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,16,0.3902439024390244,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,20,0.4878048780487805,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,24,0.5853658536585366,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,28,0.6829268292682927,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,32,0.7804878048780488,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,36,0.8780487804878049,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,40,0.975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,4,41,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,4,0.0975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,8,0.1951219512195122,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,9,0.2195121951219512,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
