model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,pre_city,39,16,0.25449029540293033,0.21688686258306325,0.23568857899299678,728,5,16,16,0.31560348761408086,0.2758182329562182,0.18909025692223913,-7.233308480662201,1.8692764043807983,9.885630464553833,313,10,4,62,16,0.1
Gemma4-E4B,pre_city,40,16,0.25646102924019154,0.19409414812840953,0.22527758868430053,728,5,16,16,0.30046202737940025,0.2826715575976784,0.18257438860100236,-7.385601450348926,1.8478660583496094,10.121167993545532,313,10,4,62,16,0.1
Gemma4-E4B,pre_city,41,16,0.2625131030017401,0.22966790268983356,0.24609050284578682,728,5,16,16,0.335266281490516,0.24001882070908861,0.1742503463938372,-7.588263498911722,1.3719110488891602,7.8732184886932375,313,10,4,62,16,0.1
Qwen3-8B,city_end,0,16,0.1112443471578004,0.07809189627889801,0.09466812171834921,869,5,16,16,0.1028985784036935,0.10409561453039713,0.13044573409917815,-8.845701188441758,1.3258312940597534,10.163853216171265,465,10,8,85,16,0.1
Qwen3-8B,city_end,1,16,0.13387332937340296,0.11439740731332826,0.12413536834336561,869,5,16,16,0.0674275448532293,0.08228948172283881,0.12314085736057438,-9.095978269856428,1.3141047954559326,10.671557950973511,465,10,8,85,16,0.1
Qwen3-8B,city_end,2,16,0.14818627897260714,0.12958930415189596,0.13888779156225156,869,5,16,16,0.07125176306510424,0.11425278165435811,0.10676096271536828,-9.715875186229434,1.3053038120269775,12.226414775848388,465,10,8,85,16,0.1
Qwen3-8B,city_end,3,16,0.14325872397910613,0.11149028078156027,0.1273745023803332,869,5,16,16,0.13208680705483775,0.12634996291006523,0.10910774067630531,-9.621444371866051,1.1571173667907715,10.605272912979126,465,10,8,85,16,0.1
Qwen3-8B,city_end,4,16,0.12173152124709921,0.1277623310417897,0.12474692614444445,869,5,16,16,0.14075090510512506,0.14533845949446972,0.11854305616353651,-9.261238803882923,1.2937562465667725,10.91380877494812,465,10,8,85,16,0.1
Qwen3-8B,city_end,5,16,0.11615844426538713,0.1150688927479417,0.11561366850666441,869,5,16,16,0.1798228817218587,0.14175106872918286,0.11096103450723378,-9.548295029199124,1.1293530464172363,10.177924633026123,465,10,8,85,16,0.1
Qwen3-8B,city_end,6,16,0.12155384519000816,0.12423552693782428,0.12289468606391621,869,5,16,16,0.15807807390434953,0.1561635222351754,0.1081041358697945,-9.66157690403121,1.1024383306503296,10.19792926311493,465,10,8,85,16,0.1
