model_label,layer,category,rows,seeds,nearest_endpoint_count_accuracy,nearest_endpoint_count_mae,rank3_projection_energy_mean,rank3_projection_energy_median
Gemma4-E4B,22,hard_negative,3162,10,0.13748241912798875,2.288677918424754,50.60334205084553,47.328365325927734
Gemma4-E4B,22,needle_endpoint,100,10,0.37,1.33,170.53384524345398,88.77390670776367
Gemma4-E4B,22,needle_interior,3228,10,0.17515485203028217,2.0615966964900205,65.97849876597026,49.15726089477539
Gemma4-E4B,22,ordinary_passage,1280,10,0.13412698412698412,2.2523809523809524,51.5610730484128,47.28353500366211
Gemma4-E4B,23,hard_negative,3162,10,0.10443037974683544,2.690576652601969,620.031963596911,612.1693115234375
Gemma4-E4B,23,needle_endpoint,100,10,0.32,1.44,659.0474724197388,364.7674102783203
Gemma4-E4B,23,needle_interior,3228,10,0.12422573984858913,3.142463867859601,749.246698802584,680.9598083496094
Gemma4-E4B,23,ordinary_passage,1280,10,0.10714285714285714,2.6563492063492062,624.6425609827041,615.3523864746094
Gemma4-E4B,29,hard_negative,3162,10,0.1220112517580872,2.363572433192686,486.2624929188023,485.6167755126953
Gemma4-E4B,29,needle_endpoint,100,10,0.28,1.91,633.757571811676,318.4869842529297
Gemma4-E4B,29,needle_interior,3228,10,0.11149346180316587,3.1558843771507226,672.0251135252961,587.345947265625
Gemma4-E4B,29,ordinary_passage,1280,10,0.1365079365079365,2.288095238095238,478.0950026497245,475.3509826660156
Gemma4-E4B,35,hard_negative,3162,10,0.12130801687763713,2.211673699015471,2148.6290297374026,1837.5123291015625
Gemma4-E4B,35,needle_endpoint,100,10,0.28,1.79,531.1613801765442,270.34375
Gemma4-E4B,35,needle_interior,3228,10,0.12422573984858913,2.6493461803165865,697.6888252306162,488.3800964355469
Gemma4-E4B,35,ordinary_passage,1280,10,0.12777777777777777,2.1595238095238094,2129.85542235896,1813.986572265625
Gemma4-E4B,36,hard_negative,3162,10,0.1209563994374121,2.2352320675105486,2086.258523737457,1731.8524780273438
Gemma4-E4B,36,needle_endpoint,100,10,0.26,1.85,483.18832983016966,246.83353424072266
Gemma4-E4B,36,needle_interior,3228,10,0.1214728148657949,2.7949070887818306,749.5370844255445,573.6940307617188
Gemma4-E4B,36,ordinary_passage,1280,10,0.1261904761904762,2.1658730158730157,2064.9187987402083,1690.8732299804688
Gemma4-E4B,37,hard_negative,3162,10,0.11849507735583685,2.268987341772152,1938.7082042591546,1597.4718017578125
Gemma4-E4B,37,needle_endpoint,100,10,0.26,1.83,466.50746744155884,227.97869873046875
Gemma4-E4B,37,needle_interior,3228,10,0.12732278045423262,2.6565726083964214,707.1679917559156,553.7827758789062
Gemma4-E4B,37,ordinary_passage,1280,10,0.13174603174603175,2.1626984126984126,1909.3789539530874,1537.07861328125
Gemma4-E4B,41,hard_negative,3162,10,0.09739803094233473,3.109353023909986,398.12409528388935,129.6344223022461
Gemma4-E4B,41,needle_endpoint,100,10,0.26,2.14,339.27681863248347,111.5521125793457
Gemma4-E4B,41,needle_interior,3228,10,0.08774948382656572,3.661046111493462,994.6921831634555,622.4957885742188
Gemma4-E4B,41,ordinary_passage,1280,10,0.1126984126984127,2.911111111111111,368.4069909941871,127.87589645385742
Qwen3-8B,0,hard_negative,3073,10,0.10922242314647378,3.9967450271247738,36.26834568851668,36.5144157409668
Qwen3-8B,0,needle_endpoint,100,10,0.31,1.53,0.08552369096083566,0.030624141916632652
Qwen3-8B,0,needle_interior,2973,10,0.102803738317757,4.005981308411215,32.210498485952904,33.969783782958984
Qwen3-8B,0,ordinary_passage,1280,10,0.0761904761904762,4.034920634920635,36.28778554499149,36.514556884765625
Qwen3-8B,4,hard_negative,3073,10,0.016636528028933093,4.55877034358047,93.96665396474683,94.04632568359375
Qwen3-8B,4,needle_endpoint,100,10,0.39,1.15,26.13715257048607,11.16445255279541
Qwen3-8B,4,needle_interior,2973,10,0.00897196261682243,4.742429906542056,100.1513522328089,95.36430358886719
Qwen3-8B,4,ordinary_passage,1280,10,0.030952380952380953,4.4944444444444445,93.52937609553337,93.6578598022461
Qwen3-8B,8,hard_negative,3073,10,0.008318264014466547,4.807594936708861,63.985378904370585,62.817344665527344
Qwen3-8B,8,needle_endpoint,100,10,0.49,0.87,105.86029720067978,41.42713165283203
