model_label,endpoint,mode,layer,pca_components,pca_explained_variance_ratio_sum,discovery_rows,confirmation_rows,discovery_support_min,discovery_support_max,confirmation_support_min,confirmation_support_max,discovery_isotropic_snr,discovery_isotropic_snr_db,confirmation_isotropic_snr,confirmation_isotropic_snr_db,discovery_fisher_trace,confirmation_fisher_trace,confirmation_fisher_trace_frozen,confirmation_fisher_noise_calibration,discovery_covariance_ridge,confirmation_covariance_ridge,discovery_covariance_condition,confirmation_covariance_condition,discovery_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,discovery_ordinal_rsa,confirmation_ordinal_rsa,discovery_cv_fold_count,discovery_oof_isotropic_snr_db,discovery_oof_isotropic_snr_db_fold_sd,discovery_oof_fisher_trace,discovery_oof_fisher_trace_fold_sd,discovery_oof_fisher_noise_calibration,discovery_oof_mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette_fold_sd,discovery_oof_ordinal_rsa,discovery_oof_ordinal_rsa_fold_sd
Gemma4-E4B,final_count,native_thinking,16,8,0.7456746101379395,200,100,20,20,10,10,0.24052936304688166,-6.188318987877517,0.3344469594088627,-4.756727480383184,17.26690766647759,17.897833822690828,14.26008808807692,0.7689811385765296,0.00018148668093636046,0.00012433432191077254,35.56807563164775,32.89702670825361,0.03725199355900692,0.01389362667835502,0.6970117832411021,0.7216552958831669,5,-2.9139942127914393,0.910333483639122,19.846484714982978,3.5137570141145407,1.146455054533333,-0.05621543824741977,0.04978196447850806,0.6440881747400624,0.04395732575708182
Gemma4-E4B,final_count,native_thinking,17,8,0.7412556409835815,200,100,20,20,10,10,0.31778497104245707,-4.978666456675546,0.4606960017311268,-3.365855568674501,20.812026392725706,23.149338395515695,17.013238183653453,0.734698475959005,0.00017881039803660336,0.0001155658008962062,35.264791231347346,41.718417263261934,0.046320127579476865,0.034586244987299064,0.7558231931409486,0.771741570225958,5,-2.093882596203017,0.9810003718486656,23.77132255369886,4.522743804967183,1.102854400878845,-0.047794069987225754,0.04072664447768601,0.7325916871691859,0.03307757781249555
Gemma4-E4B,final_count,native_thinking,18,8,0.7454572916030884,200,100,20,20,10,10,0.3366108960094698,-4.728718301302526,0.4940969862501182,-3.0618779508636784,25.14666945129939,24.367622983767845,20.287830838910544,0.7831782911817742,0.0001735160523405387,0.00011440293036558266,47.44816407701966,51.02410724356992,0.06127730954544647,0.0427279081812262,0.7746721501077172,0.7751383787252696,5,-1.751824753604835,1.5362935285311383,28.082894532187265,3.5403984357461633,1.1478437525050846,-0.02245934300570648,0.0552628167877851,0.7445804230491092,0.03119683164149205
Gemma4-E4B,final_count,native_thinking,19,8,0.7260182499885559,200,100,20,20,10,10,0.33395661887668765,-4.763099445839285,0.5205693221971323,-2.83521428991038,34.565892323577934,30.26558684248753,29.017637779365472,0.8329621761646284,0.00017029004698186675,0.00010846226969584535,65.05455650557018,63.15419076345438,0.06617384858881159,0.04336693019011967,0.7518935519358625,0.7377068811446199,5,-1.674012076469939,1.7579887487225143,37.749563578231985,4.697009867304011,1.0842034421674396,-0.017657714959333038,0.05022658986812066,0.7233203980887117,0.027454945200475332
Gemma4-E4B,final_count,native_thinking,20,8,0.7319318652153015,200,100,20,20,10,10,0.3351907330935046,-4.747079966706026,0.5310540274923202,-2.748612931404093,38.37462406310238,33.63898188601297,31.590974667532794,0.792028639362625,0.00017541587840599817,0.0001092478332159979,77.53067329601551,104.54263273281165,0.06795341072257932,0.06190810688171992,0.7573550871700498,0.738639338379725,5,-1.6040132534855125,1.9753650864293248,41.835520526659046,4.3693480247656105,1.2303863151518062,-0.01610818168649207,0.053480179922594524,0.7191376613483829,0.04444887090186291
Gemma4-E4B,final_count,native_thinking,21,8,0.7370929718017578,200,100,20,20,10,10,0.3460780823463642,-4.608259043679391,0.52656297167563,-2.7854968408744396,34.56297801609552,32.89393330316827,29.190646606723803,0.7685547244501834,0.00017891847761291398,0.00011377695738522846,70.17748363598761,119.8347199706558,0.07333865994722197,0.0879854734507903,0.7710755293437399,0.7560230054056141,5,-1.5645857655978048,1.7599536842306591,38.64829816889649,4.9083830456436734,1.4146020979273493,-0.010648903797604395,0.04723879315946384,0.7309132641459966,0.05610308305421669
Gemma4-E4B,final_count,native_thinking,22,8,0.7564185857772827,200,100,20,20,10,10,0.3353724065284511,-4.744726727538105,0.4803038586467187,-3.184839243286704,23.044379045783568,28.507828413959242,19.8368026648497,0.721362486284098,0.000187829898727015,0.00012522458972236136,44.726825305187724,84.54953999750674,0.05528177314759464,0.056699543548242415,0.774339129666608,0.7779357504305849,5,-1.8358259052295474,1.399290697110666,26.709228340147074,4.624698700509155,1.4525185431882126,-0.03252218935782877,0.03434751688948707,0.7314061343988378,0.06203046526214072
Gemma4-E4B,final_count,native_thinking,23,8,0.7329989671707153,200,100,20,20,10,10,0.30610461665506616,-5.141301203448396,0.3511015989604989,-4.5456719269887484,19.67116167541139,18.0756710424659,16.456859330304997,0.9373810871842618,0.00016714994949527717,0.00013203594689653253,40.722064768367375,29.79983248056725,0.03552234744446533,-0.006774206398625943,0.7737396928726118,0.7943869602213688,5,-2.587157150609059,1.0271129920014677,22.173851163724095,3.451655883689911,1.2663897178317312,-0.051934338745744324,0.023309083291663278,0.7213355962597022,0.06717041944850163
Gemma4-E4B,final_count,native_thinking,24,8,0.73990398645401,200,100,20,20,10,10,0.36628954995348456,-4.361754713498578,0.4500201150849162,-3.467680736132332,46.34276563610229,43.510919209304554,43.93949510506516,0.9321502339398915,0.00015234898659345874,0.00012306518251908684,78.09924910618294,54.169929964927086,0.08393038580184256,0.08267349080548714,0.7581543362287113,0.7832640774883287,5,-2.044583187861433,0.8368324675103155,49.62287061996945,9.370047028418151,1.1099139616983547,0.015564385524732882,0.028869748491278883,0.7378667309563521,0.0229286738205263
Gemma4-E4B,final_count,native_thinking,25,8,0.7318106889724731,200,100,20,20,10,10,0.492735395534312,-3.0738623915984347,0.6758841399215406,-1.7012774445068037,71.63215299145644,82.67475293942054,72.04091351728047,0.8495104693052742,0.00011769574237088767,9.317984443438029e-05,53.007697351526545,66.86017692543598,0.1614924865461279,0.14910398362512095,0.7207228386480616,0.7314460968517709,5,-0.6997552461757754,1.6728329967822095,75.95451810264436,8.964049073939274,1.013424278208055,0.10139452908027413,0.05608626132448958,0.7068558674802835,0.011979981646584564
