model_label,running_index,city,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Qwen3-8B,7,Bengaluru,5,0.11347140649275136,0.02395900720793986,0.1189333449295422,5,0.10718360484718559,0.021716571466989337,0.1094336760900048,5,1.8947491705417634,0.8911733303430874,2.1740403175354004
Qwen3-8B,7,Berlin,1,0.0961469993136589,,0.0961469993136589,1,0.0941607105099291,,0.0941607105099291,1,1.1802324056625366,,1.1802324056625366
Qwen3-8B,7,Bogota,4,0.10475823387257138,0.01917468527011578,0.10670191451517955,4,0.09940234857873073,0.017586814559077055,0.09985235390406541,4,1.7037331983447075,1.058886175990624,2.0980416536331177
Qwen3-8B,7,Brussels,2,0.11387246606455124,0.028867153639214,0.11387246606455124,2,0.1095709436098377,0.029767116938241633,0.1095709436098377,2,1.8222097158432007,0.10615290712087219,1.8222097158432007
Qwen3-8B,7,Bucharest,4,0.11747628307097233,0.011658597061674268,0.12222532676719644,4,0.11305527749477373,0.015491618761461493,0.12043883976023055,4,1.3475771062076092,1.0639158288919381,1.343768060207367
Qwen3-8B,7,Budapest,1,0.1193933074329318,,0.1193933074329318,1,0.1104084227999257,,0.1104084227999257,1,2.452871799468994,,2.452871799468994
Qwen3-8B,7,Buenos Aires,3,0.12718797034016657,0.02877267809726362,0.1155191152549211,3,0.1211552661174093,0.025333405752570457,0.1075179927020839,3,1.8209400574366252,1.1269600027487265,2.04239559173584
Qwen3-8B,7,Busan,2,0.11336516599353755,0.0010996715781438863,0.11336516599353755,2,0.10599923008380545,0.004142254975524301,0.10599923008380545,2,2.026173233985901,0.8281820329037928,2.026173233985901
Qwen3-8B,7,Chengdu,4,0.10672905879520879,0.017380418787591112,0.1074597798373288,4,0.10345198337715697,0.01664190494009224,0.1028348664530428,4,1.1797561347484589,0.805864479213236,1.3368886709213257
Qwen3-8B,7,Chennai,3,0.1019947332759875,0.013139935406541911,0.1007201540009052,3,0.10087530992611438,0.012606130649336323,0.0986987495567678,3,0.49718273679415387,0.3846899108375531,0.5721114277839661
Qwen3-8B,7,Chicago,2,0.1362323570745631,0.07793477039102707,0.1362323570745631,2,0.12424991801063465,0.061078664742349534,0.12424991801063465,2,2.4828048944473267,3.2425713305209074,2.4828048944473267
Qwen3-8B,7,Colombo,4,0.09942942321399281,0.0120291852566551,0.10124705724910976,4,0.09778760123223315,0.011775023635525085,0.10039522074185264,4,0.8599474132061005,0.48774716872012275,0.776020884513855
Qwen3-8B,7,Copenhagen,2,0.11290260249403439,0.01671602913543925,0.11290260249403439,2,0.1111682846065131,0.01819737833661154,0.1111682846065131,2,0.8856537938117981,0.3768591648269488,0.8856537938117981
Qwen3-8B,7,Dhaka,4,0.10894091594537578,0.016046270389661183,0.1104790847450101,4,0.1029116185189159,0.014770576211448823,0.10090974461882321,4,1.51603115350008,1.4638081696044922,1.0558017790317535
Qwen3-8B,7,Dublin,5,0.11536326245762511,0.014838109915812941,0.1061636058093786,5,0.1058313475266485,0.007770842037974259,0.1037351186557852,5,2.274865910410881,1.6996654113393537,2.100160360336304
Qwen3-8B,7,Fukuoka,2,0.09861327611982604,0.008124744156674127,0.09861327611982604,2,0.09141674582161549,0.012301733605021447,0.09141674582161549,2,1.890345633029938,0.23258578192712562,1.890345633029938
Qwen3-8B,7,Geneva,3,0.0956914478349717,0.014923115440059656,0.092438761723466,3,0.09403092817188168,0.01584633650720428,0.0895643526305329,3,0.8207754592100779,0.45507852963042994,0.7669777870178223
Qwen3-8B,7,Guangzhou,1,0.1301423541432884,,0.1301423541432884,1,0.1239455433149575,,0.1239455433149575,1,1.6865119934082031,,1.6865119934082031
Qwen3-8B,7,Hangzhou,1,0.1840819806571911,,0.1840819806571911,1,0.1700253833804624,,0.1700253833804624,1,4.056453704833984,,4.056453704833984
Qwen3-8B,7,Hanoi,3,0.1042894540130414,0.006239591358837116,0.100870586137093,3,0.10075484187360773,0.005408169719075318,0.0976953747493711,3,1.2419559558232625,0.16157890458621563,1.3296372890472412
Qwen3-8B,7,Harbin,3,0.1176819506771502,0.006761544901615593,0.1208549883637587,3,0.1074469605311188,0.010964333504499022,0.1077046361333563,3,2.3542222579320273,1.7082065726860645,1.430377721786499
Qwen3-8B,7,Helsinki,3,0.12271138867242397,0.019150933203093252,0.1318282866907072,3,0.11821961288630896,0.017326242695837272,0.1207205045007512,3,1.295869121948878,1.2127287000215121,1.0329930782318115
Qwen3-8B,7,Ho Chi Minh City,3,0.1240304267080116,0.006980670403238287,0.1264380938543835,3,0.11727206094894187,0.00409309169353094,0.1185233465801637,3,2.2484776973724365,0.8032451603860881,2.150205612182617
Qwen3-8B,7,Hong Kong,5,0.11213128333709962,0.012820226520161989,0.1162276095764766,5,0.10918479321407079,0.012611162169972994,0.1126471536210975,5,0.9488270878791809,0.737406137635921,1.1101449728012085
Qwen3-8B,7,Hyderabad,6,0.11311344958213261,0.026959806372453234,0.1164238034697358,6,0.10683998554073905,0.02189251124324215,0.1075400514077323,6,1.8624521605670452,1.5889300187449147,1.5788623094558716
Qwen3-8B,7,Islamabad,4,0.10664541757189364,0.01660820223286896,0.1036516080497305,4,0.10233570103091333,0.015900903571541742,0.0998038531981491,4,1.4301497340202332,0.8596151955801984,1.5422541499137878
Qwen3-8B,7,Istanbul,2,0.11770669604911754,0.0033950290210768377,0.11770669604911754,2,0.111619967077001,0.0008226941714834554,0.111619967077001,2,1.7883937358856201,0.2817226852635509,1.7883937358856201
Qwen3-8B,7,Jakarta,2,0.11996720588706655,0.013286440774113001,0.11996720588706655,2,0.1103721148818977,0.008233363580650896,0.1103721148818977,2,2.4588708877563477,0.5897881623707752,2.4588708877563477
Qwen3-8B,7,Kaohsiung,1,0.1100895776266624,,0.1100895776266624,1,0.0969216906026828,,0.0969216906026828,1,2.908396005630493,,2.908396005630493
Qwen3-8B,7,Karachi,5,0.10073843250928549,0.012886148700288256,0.1019083059753335,5,0.09802443300265068,0.012408652523757457,0.0991044945504668,5,1.2093886613845826,0.3029438145469188,1.1334903240203855
Qwen3-8B,7,Kathmandu,1,0.1606432790040716,,0.1606432790040716,1,0.1491436935836161,,0.1491436935836161,1,2.929459810256958,,2.929459810256958
Qwen3-8B,7,Krakow,5,0.12391873113472843,0.031249451331796203,0.1254336687286001,5,0.11545825780613347,0.024846217707647125,0.1135052148040409,5,2.2626687049865724,1.503520453805776,2.25642204284668
Qwen3-8B,7,Kuala Lumpur,4,0.118222691663075,0.02661913352805736,0.11425121030338614,4,0.10822167735329145,0.02462592033825992,0.0988193651979522,4,2.2782351095229387,1.7838024559835406,2.3950409293174744
Qwen3-8B,7,Kyoto,3,0.11128917016831413,0.017757658312075233,0.1031452742428665,3,0.10718283282212804,0.015694520588892678,0.098652197152157,3,1.5649829506874084,0.9454735659180895,1.893741011619568
Qwen3-8B,7,Lahore,4,0.11153425579084487,0.014303743955891984,0.112933860866377,4,0.10793936003503565,0.013098000542040628,0.1128057334004941,4,1.1581213437020779,1.0669428812052009,0.9668664932250977
Qwen3-8B,7,Lima,1,0.1295610328274733,,0.1295610328274733,1,0.1110727989629333,,0.1110727989629333,1,3.911876201629639,,3.911876201629639
Qwen3-8B,7,Lisbon,2,0.10451500332568615,0.00842242893017578,0.10451500332568615,2,0.10218107985594345,0.011489387946793623,0.10218107985594345,2,0.7859546542167662,0.54742425759005,0.7859546542167662
Qwen3-8B,7,Ljubljana,2,0.09497223001626384,0.004248763939929674,0.09497223001626384,2,0.0896119010804908,0.0026938904814828284,0.0896119010804908,2,1.6277121305465698,0.5189563373507607,1.6277121305465698
Qwen3-8B,7,London,3,0.11372659191393947,0.008147954634829955,0.1110471098344369,3,0.1098210969843369,0.009011506621830543,0.1068632460434669,3,1.010891278584798,0.6824306596376405,0.741176187992096
Qwen3-8B,7,Los Angeles,3,0.1023409779765338,0.004044691050687702,0.101267091580086,3,0.09851963405301839,0.007559430740025336,0.0972486113044902,3,0.9836722960074741,1.330754433314733,0.2357247173786163
Qwen3-8B,7,Lyon,2,0.1172811295338137,0.02535512876194093,0.1172811295338137,2,0.10820512222389095,0.02436448244530725,0.10820512222389095,2,2.31448233127594,0.1691297396902143,2.31448233127594
