model_label,layer,rows_discovery,rows_confirmation,frozen_pc1_variance_fraction,frozen_pc2_variance_fraction,frozen_pc3_variance_fraction,frozen_pc3_total_variance_fraction,trajectory_line_r2,centroid_distance_vs_count_gap_spearman,adjacent_step_pairwise_cosine_mean,adjacent_step_cosine_to_mean_mean,adjacent_step_length_cv,second_difference_over_step_norm,discovery_confirmation_same_step_cosine_mean,discovery_confirmation_same_step_cosine_min,frozen_pc3_ridge_r2,frozen_pc3_ridge_mad,frozen_pc3_nearest_centroid_accuracy,frozen_pc3_nearest_centroid_mad,confirmation_seed_projection_spearman_mean,confirmation_seed_projection_spearman_min,confirmation_adjacent_increment_positive_fraction
Gemma4-E4B,23,200,100,0.27220345,0.09142781,0.05782382,0.42145508,0.5361328624643698,0.5301685422455015,0.2957963230476691,0.5716984154004544,1.3385543943910596,1.0374918526676165,0.6366898915836275,-0.9157812556322702,0.5107318330671644,1.717028461188481,0.3,1.89,0.8278787878787878,0.6969696969696969,0.6888888888888889
Gemma4-E4B,24,200,100,0.27175072,0.0913264,0.05497993,0.41805705,0.4947523337775799,0.5357632856561323,0.3219934095969861,0.5264672881626085,1.4429755566202536,1.0654462951298755,0.7606643780322508,-0.621974186555063,0.4888127494425687,1.7467378391687758,0.3,1.86,0.8315151515151513,0.6121212121212121,0.7
Gemma4-E4B,25,200,100,0.27823448,0.09031262,0.04727076,0.41581786,0.45382878148290373,0.5406919881845453,0.2759309963363134,0.4738034980751127,1.5556311146578605,1.096875984276093,0.7266770962515939,-0.6282445758798643,0.4674185399725007,1.7792006466863353,0.3,1.78,0.8048484848484847,0.6,0.7
Gemma4-E4B,26,200,100,0.28689712,0.09467012,0.04529067,0.42685791,0.44515519868681785,0.4962004572523851,0.254795692899698,0.4755193874511363,1.5542077911606096,1.1024772864629542,0.7612073752104184,-0.41599314008154237,0.3998488962236445,1.8824308863415578,0.22,2.2,0.7636363636363636,0.4666666666666666,0.7
Gemma4-E4B,27,200,100,0.30164266,0.1047536,0.04091313,0.44730939000000003,0.4106162638905193,0.4818805782846988,0.18941026938235517,0.42263441351121206,1.6130965296210653,1.1147213892263845,0.7560473660585474,0.10117331154367319,0.4103895372296713,1.8648314462266287,0.27,1.96,0.7478787878787878,0.5151515151515151,0.6777777777777778
Gemma4-E4B,28,200,100,0.30730045,0.11024766,0.04513986,0.46268797,0.40900077418001857,0.4898064647830927,0.11082584128793843,0.31896357862400443,1.539279902700519,1.1489943233295796,0.607222190182998,-0.15614615916680963,0.491050276589606,1.692406123284013,0.26,2.11,0.766060606060606,0.3696969696969697,0.6555555555555556
Gemma4-E4B,29,200,100,0.22636318,0.09181781,0.04622651,0.3644075,0.4335448072166739,0.4395203781756361,0.12167374284296163,0.3617051245626994,1.3867666630519073,1.1687080790701443,0.7132127662012208,-0.03581362837421608,0.43473344278406334,1.791898047040201,0.32,1.99,0.6933333333333332,0.3696969696969697,0.6666666666666667
Gemma4-E4B,30,200,100,0.23861007,0.09844875,0.04971244,0.38677126,0.43012081844891936,0.45297440399643907,0.15326089048807845,0.3593377810902537,1.3606244852372193,1.2144467898260636,0.7858158446994474,0.45712286780394584,0.43182983822193044,1.7907576277357924,0.27,2.09,0.6848484848484848,0.2727272727272727,0.6444444444444445
Gemma4-E4B,31,200,100,0.22959419,0.09811468,0.04576895,0.37347782,0.419894762838391,0.4307952426185808,0.14678691400110735,0.35403608482850235,1.3451558279580171,1.2262175871007923,0.7729660480056821,0.47444633017761234,0.41840939355878237,1.8087140855227717,0.27,2.24,0.7018181818181818,0.29696969696969694,0.6666666666666667
Gemma4-E4B,32,200,100,0.23222613,0.11108395,0.04384582,0.3871559,0.4078651834638307,0.42773145456037825,0.1418030941949988,0.33594649330767623,1.3327513722900572,1.2848191239314628,0.7800765172599469,0.5203902281261312,0.3987765517691524,1.8411679738804003,0.23,2.22,0.6593939393939394,0.23636363636363633,0.6333333333333335
Gemma4-E4B,33,200,100,0.26543957,0.11636435,0.04690279,0.42870671000000005,0.410879893589858,0.42699880958993847,0.1437683092673936,0.35303090595005837,1.3774772088001044,1.319994406433123,0.681939935398778,0.1745477618069299,0.40067836838851756,1.862756566424432,0.21,2.49,0.64,0.28484848484848485,0.611111111111111
Gemma4-E4B,34,200,100,0.24987544,0.12468149,0.04931468,0.42387161,0.39322544182982155,0.42873051588370514,0.13839791048477013,0.3267516072523835,1.4598581328760447,1.3309217818840469,0.6648802333099266,-0.04515957469062602,0.38807566399114557,1.8838461143229248,0.22,2.54,0.6133333333333334,0.2121212121212121,0.6
Gemma4-E4B,35,200,100,0.23831053,0.12498815,0.06041886,0.42371754,0.40052420576773284,0.4731554427276435,0.09255180843153935,0.28038924211085337,1.4093402486754811,1.3386738411679042,0.6308741898627794,0.09975915466596985,0.3817567077091899,1.8710687013886116,0.22,2.16,0.6024242424242423,0.22424242424242422,0.6333333333333333
Gemma4-E4B,36,200,100,0.24814238,0.12063795,0.06765129,0.43643162,0.3934207962653946,0.45057665682045445,0.059449912406862024,0.2747439956067954,1.3923700870666862,1.3524855885709393,0.5987977004870063,0.08457552175464098,0.3897760155547808,1.8741094718703863,0.23,2.26,0.6727272727272726,0.4666666666666666,0.6222222222222222
Gemma4-E4B,37,200,100,0.26227283,0.12316108,0.06736741,0.45280132,0.3795039295333793,0.4011564233598813,0.026076239153258334,0.240914879006922,1.371073371119014,1.367636373002515,0.5655524230426784,-0.06589837320954568,0.38419457157545345,1.892904214652152,0.23,2.26,0.692121212121212,0.4545454545454545,0.6111111111111112
Gemma4-E4B,38,200,100,0.27027225,0.12066198,0.06733669,0.45827092,0.371527572249414,0.3805757600993461,0.017827790023706894,0.23886299574826111,1.3943785809918743,1.3656156445449306,0.5527504900771949,-0.1472557821754056,0.38444679422263006,1.8986159728700072,0.23,2.33,0.681212121212121,0.4424242424242424,0.6333333333333334
Gemma4-E4B,39,200,100,0.28383085,0.12063912,0.06111622,0.46558619,0.35882650099912095,0.36299228080879187,0.001651832637724615,0.22464049331281555,1.4604545543913032,1.3566155643267241,0.5856690720823778,-0.34477950045752187,0.38454054542185445,1.904876521660856,0.24,2.2,0.6472727272727272,0.38181818181818183,0.6444444444444445
Gemma4-E4B,40,200,100,0.30832702,0.12080851,0.05489924,0.48403477,0.3523920154389725,0.3538009166341839,-0.011249151024776135,0.20454387684721986,1.549254865716894,1.3382514063870876,0.5870483599627293,-0.5915119092852196,0.38630930223243654,1.905641805588465,0.24,2.27,0.6218181818181818,0.35757575757575755,0.6333333333333334
Gemma4-E4B,41,200,100,0.61130613,0.10741284,0.02284483,0.7415638,0.32553807535317114,0.3964275330961337,-0.03262434897322611,0.15964346155695347,1.709120692988749,1.414892702105487,0.25659764632380694,-0.9179226795275076,0.37754174752169645,1.89731810807376,0.2,2.63,0.5854545454545454,0.17575757575757575,0.5999999999999999
